id_subsistena;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SE;SUDESTE/CENTRO-OESTE;2023-01-02 07:00:00;26164.24414062;3955.37792968;4.00000000;1096.92102050;32999.64199999;-1779.09800000
S;SUL;2023-01-02 07:00:00;3624.21508789;408.31600952;377.25100708;1.00000000;11071.24100000;-6660.45900000
NE;NORDESTE;2023-01-02 08:00:00;3216.19702148;672.16198730;8671.14648437;2777.45507812;10308.07400000;5028.88600000
N;NORTE;2023-01-02 08:00:00;8602.87890625;1154.86303710;120.15200042;2.00000000;5692.69899999;4187.19500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 08:00:00;43126.66900000;6202.42800000;9312.97900000;4316.83400000;62568.51000000;390.40000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 08:00:00;26707.33007812;3969.68505859;5.00000000;1535.87902832;34781.51700000;-2563.62300000
S;SUL;2023-01-02 08:00:00;4600.26318359;405.71798706;516.68103027;1.50000000;11786.22399999;-6262.06200000
NE;NORDESTE;2023-01-02 09:00:00;3251.97094726;680.73901367;8354.27636718;2911.59594726;10206.23299999;4992.34900000
N;NORTE;2023-01-02 09:00:00;8637.12597656;1369.04797363;141.26899719;3.00000000;5683.43800000;4467.00499999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 09:00:00;43914.98500000;6487.79500000;9094.68300000;4663.20700000;63537.23000000;623.44000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 09:00:00;26832.62890625;4033.47998046;5.00000000;1745.61096191;35801.19399999;-3184.47399999
S;SUL;2023-01-02 09:00:00;5193.25878906;404.52801513;594.13800048;3.00000000;11846.36899999;-5651.44400000
NE;NORDESTE;2023-01-02 10:00:00;3244.48901367;685.60699462;7257.80712890;3038.75610351;10174.21400000;4052.44500000
N;NORTE;2023-01-02 10:00:00;9462.03125000;1450.22399902;135.15400695;3.00000000;5717.03400000;5333.37500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 10:00:00;45543.87100000;6604.01800000;8125.53000000;5070.46600000;64444.32000000;899.57000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 10:00:00;27422.19531250;4064.81909179;5.00000000;2025.70996093;36661.88399999;-3144.16000000
S;SUL;2023-01-02 10:00:00;5415.15576171;403.36801147;727.56896972;3.00000000;11891.18400000;-5342.09100000
NE;NORDESTE;2023-01-02 11:00:00;3244.27587890;674.95001220;6273.00195312;3103.61596679;10188.32599999;3107.51800000
N;NORTE;2023-01-02 11:00:00;10928.10058593;1637.61096191;132.07600402;3.00000000;5715.34300000;6985.44500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 11:00:00;47058.03900000;6800.19200000;7008.52200000;5150.39900000;65102.50000000;914.65000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 11:00:00;27246.93164062;4085.41308593;5.00000000;2040.78295898;37244.46200000;-3866.33500000
S;SUL;2023-01-02 11:00:00;5638.73095703;402.21798706;598.44396972;3.00000000;11954.37099999;-5311.97800000
NE;NORDESTE;2023-01-02 12:00:00;3210.91699218;676.53497314;6143.72509765;3090.39990234;9989.77000000;3131.80699999
N;NORTE;2023-01-02 12:00:00;11143.44726562;1712.77600097;183.16200256;3.00000000;5762.09800000;7280.28700000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 12:00:00;46840.12600000;6873.95900000;7250.93900000;5091.82000000;65084.87000000;971.97000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 12:00:00;27203.05664062;4082.95898437;5.00000000;1995.42004394;37689.20300000;-4402.76800000
S;SUL;2023-01-02 12:00:00;5282.70605468;401.68899536;919.05200195;3.00000000;11643.79899999;-5037.35200000
NE;NORDESTE;2023-01-02 13:00:00;3384.32495117;681.89801025;6671.03710937;3173.51611328;10420.61100000;3490.16500000
N;NORTE;2023-01-02 13:00:00;11979.83007812;1740.84399414;158.81199645;3.00000000;5974.06799999;7908.41800000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 13:00:00;48750.70700000;6914.03300000;7822.31700000;4941.59400000;67456.70000000;971.95000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 13:00:00;27761.91601562;4084.76000976;6.00000000;1762.07800292;39054.55900000;-5439.80500000
S;SUL;2023-01-02 13:00:00;5624.63623046;406.53100585;986.46801757;3.00000000;12007.46300000;-4986.82800000
NE;NORDESTE;2023-01-02 14:00:00;3897.07104492;687.34600830;6911.63183593;2772.58203125;11074.27000000;3194.36100000
N;NORTE;2023-01-02 14:00:00;12419.32031250;1788.62304687;135.86900329;2.00000000;6197.15600000;8148.65599999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 14:00:00;51471.38700000;6964.19700000;8143.58100000;4356.37700000;69963.64000000;971.90000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 14:00:00;28240.66210937;4082.30004882;6.00000000;1579.79504394;40251.55200000;-6342.79400000
S;SUL;2023-01-02 14:00:00;6914.33300781;405.92800903;1090.07995605;2.00000000;12440.66100000;-4028.32000000
NE;NORDESTE;2023-01-02 15:00:00;4163.16503906;681.07000732;6602.27978515;2257.73803710;11325.61900000;2378.63400000
N;NORTE;2023-01-02 15:00:00;13206.24121093;1869.31494140;150.13499450;2.00000000;6330.13199999;8897.55899999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 15:00:00;54158.69600000;6994.97200000;7849.19600000;3536.48800000;71527.94000000;1011.41000000
SE;SUDESTE/CENTRO-OESTE;2023-01-02 15:00:00;29088.49023437;4041.14794921;6.50000000;1275.75000000;41197.77600000;-6785.88700000
S;SUL;2023-01-02 15:00:00;7700.79882812;403.43899536;1090.28100585;1.00000000;12674.41399999;-3478.89499999
NE;NORDESTE;2023-01-02 16:00:00;4807.65820312;678.21301269;6993.57080078;1500.32897949;11550.60299999;2429.16800000
N;NORTE;2023-01-02 16:00:00;13519.97558593;1918.29602050;142.89199829;1.00000000;6355.80700000;9226.35700000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 16:00:00;56255.30800000;7013.99900000;8270.57200000;2475.26000000;72915.25000000;1099.89000000
